Name,Price,Description,Image_Link,Colors,Sizes
Run Star Hike Platform Seasonal Colour High Top,CA$120.00,"NEXT-LEVEL COLOUR The statement-making Run Star Hike in new, nature-inspired tones. The lace-up design keeps it classic from above, while colourblocking draws attention to the saw-tooth sole below. With a cushioned OrthoLite sockliner and contrast colour star on the heel, it's bound to be your new favorite shoe.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03061c_a_107x1.jpg,,M 3 / W 4.5|M 3.5 / W 5|M 4 / W 5.5|M 4.5 / W 6|M 5 / W 6.5|M 6 / W 7.5|M 6.5 / W 8
Chuck Taylor All Star Lugged 2.0 Platform Seasonal Colour High Top,CA$95.00,"NEW HEIGHTS, NEW COLOURS Take on the season in a fresh pair of boots. This edition of the Lugged 2.0 features a durable canvas upper, made from cotton. An expressive, chevron-inspired tread ups the height and traction with zero sacrifices in style. Complete with a mesh lining to help you stay cool and comfortable, they're bound to be your new favorite boots.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a05098c_a_107x1.jpg,,M 3 / W 5|M 4 / W 6|M 4.5 / W 6.5|M 5.5 / W 7.5|M 6.5 / W 8.5|M 7 / W 9|M 7.5 / W 9.5
One Star Pro Sean Pablo Low Top,CA$100.00,"SIGNATURE SEAN PABLO A favourite of skateboarders since the '90s, and now updated for maximum durability, today's One Star Pro maintains its classic style with upgraded cushioning for impact protection. Designed by CONS team rider, Sean Pablo, this updated version of his signature One Star Pro combines luxe purple suede with hair-on-hide accents. Rubber backing delivers maximum durability while doubling down on the One Star's classic look in a vision that's all Sean's.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a04371c_a_107x1.jpg,,M 8.5 / W 10|M 9 / W 10.5|M 9.5 / W 11|M 10.5 / W 12
Converse x Patta Four-Leaf Clover One Star Pro Low Top,CA$130.00,"CONVERSE x PATTA Converse and Patta, the Amsterdam grown and globally known streetwear brand, salute the symbol of luck with their latest collaboration, Four-Leaf Clover capsule collection – redefining the classic One Star Pro with a hairy suede upper and a little bit of luck stitched right in.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a03174c_a_107x1.jpg,,M 8.5 / W 10|M 9 / W 10.5|M 9.5 / W 11|M 10 / W 11.5
One Star Pro Low Top,CA$90.00,"GONE PRO In 1974, Converse launched a low-top, suede version of the Chuck Taylor All Star with a simple but vibrant style change—a lone star on the outside of the sneaker. Cut to the early '90s, the reissued One Star becomes a hit among skateboard culture. Today's One Star Pro has upgraded cushioning for impact protection, with rubber-backed suede for maximum durability and a classic look.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02944c_a_107x1.jpg,,M 6.5 / W 8|M 8 / W 9.5|M 8.5 / W 10|M 9 / W 10.5
Chuck 70 Seasonal Colour High Top,CA$100.00,"CANVAS SEASON The Chuck 70 celebrates that heritage by bringing together archival-inspired details with modern comfort updates. This version gets updated in trending spring colour on premium poly-canvas. Updated OrthoLite insole cushioning gives you all day support. A glossy, egret midsole and vintage star ankle patch brings out the shoe's iconic style.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02755c_a_107x1_1.jpg,Sunny Oasis/Egret/Black:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02757c_a_107x1_1_13.jpg,M 9 / W 11
Chuck Taylor All Star Seasonal Colour High Top,CA$80.00,"CANVAS SEASON The Chuck Taylor All Star continues to reimagine itself, with trending spring colour and forward-thinking canvas. You already know the details that started on the basketball court—the diamond pattern outsole and classic star ankle patch. OrthoLite cushioning gives you all-day comfort. The classic style is complemented by heritage design elements, like a rubber toe bumper and iconic star ankle patch.",,Canyon Dusk:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02784c_a_107x1_1__1_1.jpg|Burnt Honey:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02785c_a_107x1_1_1.jpg,M 3 / W 5
Chuck 70 Seasonal Colour Low Top,CA$95.00,"CANVAS SEASON The premium Chuck 70 gets upgraded in trending spring colour on poly-canvas. Updated OrthoLite insole cushioning gives you all day support. Heritage details like a glossy, egret midsole and vintage license plate brings out the shoe's iconic style.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02768c_f_107x1_1.jpg,Rhubarb Pie/Egret/Black:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02767c_a_107x1_1_1.jpg|Squirrel Friend/Egret/Black:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02768c_a_107x1_1_16.jpg,M 3 / W 5|M 3.5 / W 5.5|M 10.5 / W 12.5|M 11 / W 13|M 12 / W 14
Chuck Taylor All Star Seasonal Colour Low Top,CA$75.00,"CANVAS SEASON Since 1917, the Chuck Taylor All Star has been an icon of everyday cool. You already know the details that started on the basketball court—the diamond pattern outsole and All Star license plate. OrthoLite cushioning for all-day comfort you can feel good about. The classic style is complemented by heritage design elements, like a rubber toe bumper and woven All Star tongue label. Updated for the season in trending spring colour.",,Burnt Honey:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a02801c_a_107x1_1_1.jpg,M 3 / W 5
Chuck 70 Tonal Polyester Low Top,CA$95.00,"BEST MADE BETTER. The Chuck 70 is built off of the original 1970s design, with premium materials, extraordinary craftsmanship, and enhanced cushioning to keep you feeling good. The poly-canvas upper is joined by classic Chuck 70 details, like premium cotton laces, winged tongue stitching for reinforcement, and varnished egret foxing with vintage license plate.",,Deep Water/Egret/Black:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a00755c_a_107x1_1_2.jpg|Desert Cargo/Egret/Black:https://converse.ca/media/catalog/product/cache/e646b40d69f530ee828d53f41d45e545/a/0/a00756c_a_107x1_1_1.jpg,M 3 / W 5|M 3.5 / W 5.5
Chuck 70 Seasonal Colour Low Top,CA$95.00,"CANVAS SEASON A fresh take on the premium Chuck 70 in trending spring colour on poly-canvas. Updated OrthoLite insole cushioning gives you all day support. Heritage details like a glossy, egret midsole and vintage license plate brings out the shoe's iconic style.",https://converse.ca/media/catalog/product/cache/f9d46213ae1d882c35b397bec3e31308/a/0/a02770c_a_107x1.jpg,,M 7 / W 9|M 7.5 / W 9.5
